,state,electorate,ec.votes
2,AL,2047802,9
1,AK,279841,3
4,AZ,2413568,11
3,AR,1065366,6
5,CA,13237598,55
6,CO,2541354,9
7,CT,1570787,7
,DC,29553,3
8,DE,420730,3
9,FL,9122861,29
10,GA,3967067,16
11,HI,395738,4
13,ID,598820,4
14,IL,5236744,20
15,IN,2590412,11
12,IA,1454652,6
16,KS,1098023,6
17,KY,1831825,8
18,LA,1958792,8
21,ME,693328,4
20,MD,2621097,10
19,MA,3086089,11
22,MI,4548382,16
23,MN,2690654,10
25,MS,1185845,6
24,MO,2665579,10
26,MT,456949,3
29,NE,780455,5
33,NV,1051318,6
30,NH,694316,4
31,NJ,3750211,14
32,NM,704901,5
34,NY,6906931,29
27,NC,4551947,15
28,ND,310552,3
35,OH,5235169,18
36,OK,1369511,7
37,OR,1784509,7
38,PA,5897174,20
39,RI,433068,4
40,SC,2010762,9
41,SD,345179,3
42,TN,2393620,11
43,TX,8562915,38
44,UT,825885,6
46,VT,273942,3
45,VA,3750916,13
47,WA,2964465,12
49,WV,678165,5
48,WI,2787820,10
50,WY,230392,3
